Inches,ScreenResolution,Cpu,Ram,Weight,TouchScreen,HDD,SSD,SSHD,FStorage,2 in 1 Convertible,Gaming,Netbook,Notebook,Ultrabook,Workstation,Android,Chrome OS,Linux,Mac OS X,No OS,Windows 10,Windows 10 S,Windows 7,macOS,LaptopPrice
14.0,4,15,8,1.75,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1116.02
15.6,4,16,8,2.4,0,0,256,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,869.0
15.6,1,15,4,2.1,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,602.0
15.6,1,3,4,1.86,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,369.0
14.0,4,16,8,1.25,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1099.0
12.5,14,11,8,0.97,1,0,512,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2014.0
15.6,4,10,4,2.0,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,344.0
17.3,4,16,16,2.9,0,1000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2029.0
15.6,1,14,4,2.1,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,447.0
15.6,4,16,16,2.56,0,0,512,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1249.26
15.6,4,16,8,2.62,0,0,0,1000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,899.0
15.6,1,15,4,1.9,0,0,128,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,498.0
17.3,4,16,16,2.8,0,1000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1890.0
14.0,4,15,4,1.48,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1082.0
15.6,4,15,6,1.91,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,619.0
14.0,4,14,4,1.74,1,0,256,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,629.0
13.3,4,15,8,1.1,1,0,256,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1315.0
15.6,4,16,8,1.56,1,0,256,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1049.0
15.6,1,14,4,2.1,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,447.0
15.6,1,5,4,2.03,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,403.0
17.3,4,15,4,3.0,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,805.0
15.6,4,15,8,2.13,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,728.0
15.6,4,16,16,2.5,0,0,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1079.0
15.6,1,10,4,2.1,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,348.0
15.6,4,16,16,2.4,0,1000,256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1799.0
15.6,1,12,4,2.1,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,363.51
15.6,4,16,8,2.56,0,1000,128,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1060.49
17.3,4,15,8,3.0,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,854.0
13.3,4,15,4,1.49,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,754.0
13.0,6,15,8,1.05,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1349.0
17.3,4,15,6,2.71,0,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,699.0
15.6,1,3,4,2.2,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,309.0
15.6,1,14,4,2.0,0,500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,489.0
17.3,4,15,8,2.5,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,923.0
15.6,1,14,8,2.3,0,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,459.0
15.6,1,14,4,2.1,0,0,128,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,449.0
18.4,4,16,32,4.4,0,1000,512,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2799.0
15.6,4,15,8,1.9,0,1000,128,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,813.0
13.3,14,15,8,1.29,1,0,256,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1499.0
15.6,4,16,16,2.02,0,2000,256,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1049.0
13.3,4,15,8,1.23,0,0,256,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1399.0
13.9,14,16,16,1.4,1,0,512,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1849.0
15.6,1,15,8,2.0,0,0,128,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,793.0
15.6,4,15,8,1.95,0,0,256,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1199.0
17.3,4,16,16,2.77,1,0,512,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1549.0
15.6,14,16,16,2.06,1,0,512,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2397.0
15.6,4,15,8,2.4,0,0,256,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,779.0
